X,Y,speed,dir,AM_dir,QGIS_dir
718954.754853401,5189518.66735339,14.2,3,93,183
719355.814853401,5189518.66735339,13.9,2,92,182
719756.874853401,5189518.66735339,14.2,2,92,182
720157.934853401,5189518.66735339,14.4,2,92,182
720558.994853401,5189518.66735339,13.9,360,90,180
720960.054853401,5189518.66735339,13.2,358,88,178
721361.114853401,5189518.66735339,12.8,358,88,178
721762.174853401,5189518.66735339,12.8,358,88,178
722163.234853401,5189518.66735339,12.6,359,89,179
722564.294853401,5189518.66735339,12.3,360,90,180
722965.354853401,5189518.66735339,11.9,0,90,180
723366.414853401,5189518.66735339,11.7,1,91,181
723767.474853401,5189518.66735339,11.6,1,91,181
724168.534853401,5189518.66735339,11.4,2,92,182
724569.594853401,5189518.66735339,11.4,3,93,183
724970.654853401,5189518.66735339,11.5,2,92,182
725371.714853401,5189518.66735339,11.9,2,92,182
725772.774853401,5189518.66735339,12.3,3,93,183
726173.834853401,5189518.66735339,12.4,3,93,183
726574.894853401,5189518.66735339,12.2,1,91,181
726975.954853401,5189518.66735339,12.1,1,91,181
727377.014853401,5189518.66735339,12.2,4,94,184
727778.074853401,5189518.66735339,12.1,5,95,185
728179.134853401,5189518.66735339,11.9,6,96,186
728580.194853401,5189518.66735339,11.5,8,98,188
728981.254853401,5189518.66735339,11.0,8,98,188
729382.314853401,5189518.66735339,10.5,5,95,185
729783.374853401,5189518.66735339,10.3,2,92,182
730184.434853401,5189518.66735339,10.1,0,90,180
730585.494853401,5189518.66735339,9.8,355,85,175
730986.554853401,5189518.66735339,9.4,352,82,172
731387.614853401,5189518.66735339,9.2,354,84,174
731788.674853401,5189518.66735339,9.2,355,85,175
732189.734853401,5189518.66735339,9.2,356,86,176
732590.794853401,5189518.66735339,8.8,356,86,176
732991.854853401,5189518.66735339,8.5,358,88,178
733392.914853401,5189518.66735339,8.7,360,90,180
733793.974853401,5189518.66735339,9.2,2,92,182
734195.034853401,5189518.66735339,9.3,2,92,182
734596.094853401,5189518.66735339,9.6,358,88,178
734997.154853401,5189518.66735339,9.6,358,88,178
735398.214853401,5189518.66735339,10.4,353,83,173
735799.274853401,5189518.66735339,10.8,349,79,169
736200.334853401,5189518.66735339,9.7,348,78,168
736601.394853401,5189518.66735339,9.1,354,84,174
714944.154853401,5189919.72735339,13.3,15,105,195
715345.214853401,5189919.72735339,13.5,7,97,187
715746.274853401,5189919.72735339,14.3,358,88,178
716147.334853401,5189919.72735339,14.4,357,87,177
716548.394853401,5189919.72735339,13.6,357,87,177
716949.454853401,5189919.72735339,13.4,0,90,180
717350.514853401,5189919.72735339,14.1,2,92,182
717751.574853401,5189919.72735339,14.5,1,91,181
718152.634853401,5189919.72735339,14.3,1,91,181
718553.694853401,5189919.72735339,13.6,1,91,181
